sector_AGRICULTURE,sector_EDUCATION,sector_GENERAL,sector_GENERAL COMMERCE,sector_VALUE CHAIN,PRODUCT_GROUP_NAME_Corporate Loans Group,PRODUCT_GROUP_NAME_Current Accounts Group,PRODUCT_GROUP_NAME_HRM Loans Group,PRODUCT_GROUP_NAME_Retail Loans Individual Group,PRODUCT_GROUP_NAME_Small Business Loans Group,FACILITY_TYPE_OVERDRAFT,FACILITY_TYPE_TERM LOAN,ARR_STATUS_CLOSE,ARR_STATUS_CURRENT,ARR_STATUS_EXPIRED,ARR_STATUS_PENDING.CLOSURE,DIRECTORATENAME_COPORATE & INVESTMENT BANKING,DIRECTORATENAME_INSTITUTIONAL BANKING,DIRECTORATENAME_MD,DIRECTORATENAME_RETAIL & CONSUMER BANKING,DIRECTORATENAME_Unknown,Is_Active_loans_Inactive,employment_status_EMPLOYER,employment_status_OTHER,employment_status_SELF-EMPLOYED,employment_status_Unknown,Contract_Amount,CURR_BAL,previous_loans_amount,running_loans_amount,DAYS_TO_MATURITY,DAY_SINCEPAYMENT,INTEREST_RATE,YEAR_LOAN_DURATION,DAYS_RUNNING_SINCE,previous_loans_count,running_loans_count,previous_loan_default_count,Age_at_Inception,Default_status
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.1137598670521205,-0.78291399519997,-0.22985427836083874,-1.1026322485068631,-2.6323322018115793,2.796272535874682,-1.7622179952626966,0.5718754604226882,2.798491192669453,0.10719248269420442,-0.8349877644239653,-0.2921768504667343,-0.9379256102032941,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-2.6367596559699837,-3.559925569683513,-0.8403986143757147,-1.1026322485068631,-3.490995907195418,2.278889654014635,-1.7622179952626966,-0.6597417421022159,2.2983866501465067,-0.36308965623474565,-0.8349877644239653,0.13700655155100866,-0.14318741385275696,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.2062348845333377,-0.013862884220871717,0.033405547296867094,-1.1026322485068631,-3.0049552307170595,2.989782867174874,-1.7622179952626966,-0.04393314083976387,2.286238361664168,-0.5982307256992206,-0.8349877644239653,-0.2921768504667343,-0.14318741385275696,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.40030270168342036,-0.058348672312711826,-0.04639349247237387,-1.1026322485068631,-3.0049552307170595,3.000852343670157,-1.7622179952626966,-0.04393314083976387,2.3004113648935633,-0.5982307256992206,-0.8349877644239653,-0.2921768504667343,-0.14318741385275696,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.37067939196026123,-0.07894593540032899,-0.03421263886455086,-1.1026322485068631,-3.0049552307170595,3.002427261347854,-1.7622179952626966,-0.04393314083976387,2.2983866501465067,-0.5982307256992206,-0.8349877644239653,-0.2921768504667343,-0.14318741385275696,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.544772998259143,-0.14809797068506111,-0.10579845261063561,-1.1026322485068631,-3.0049552307170595,3.002427261347854,-1.7622179952626966,-0.04393314083976387,2.29636193539945,-0.5982307256992206,-0.8349877644239653,-0.2921768504667343,-0.14318741385275696,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.37067939196026123,-0.049474471163153885,-0.03421263886455086,-1.1026322485068631,-3.0049552307170595,3.000852343670157,-1.7622179952626966,-0.04393314083976387,2.3004113648935633,-0.5982307256992206,-0.8349877644239653,-0.2921768504667343,-2.0505590850940463,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.29239640394799954,-0.005309972084203197,-0.0020233384159637356,-1.1026322485068631,-3.0049552307170595,3.000852343670157,-1.7622179952626966,-0.04393314083976387,2.2983866501465067,-0.5982307256992206,-0.8349877644239653,-0.2921768504667343,-0.14318741385275696,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-0.37067939196026123,-0.1296593832221536,-0.03421263886455086,-1.1026322485068631,-3.0049552307170595,1.2504158068507951,-1.7622179952626966,-0.04393314083976387,2.2396699224818692,-0.5982307256992206,-0.8349877644239653,-0.2921768504667343,-0.14318741385275696,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.18714873201558765,0.006503089944911794,0.04125361126838008,-1.1026322485068631,-3.0049552307170595,3.0110608584877943,-1.7622179952626966,-0.04393314083976387,2.3004113648935633,-0.5982307256992206,-0.8349877644239653,-0.2921768504667343,-0.14318741385275696,1
